season	episode	clip	text	label
S05	E16	329	apparently, teens are drinking the slushie stuff inside of these for the alcohol.	inform
S05	E16	219	eh, if i did, i'd have to change it on my debit card too.	leave
S04	E17	434	i actually just bought some stock in a drone company.	inform
S04	E10	375	there's, like, eight of us, that's more of a walk.	complain
S04	E16	494	sandra, code cottontail.	inform
S05	E16	27	also there's a product locator, an inventory map	inform
S05	E11	487	jonah, i wasted my afternoon in that meeting just to go along with your new cause	complain
S05	E07	189	anyone who ripped up their workbook has failed.	inform
S04	E07	301	why didn't you just shout,  hey glenn	complain
S05	E11	149	never forget how fun you are, jonah.	taunt
S05	E08	126	you can donate to our toy drive.	advise
S05	E08	100	no, things are good.	comfort
S05	E13	216	okay, buddy, you're being weird.	taunt
S04	E17	151	we can see that, big guy. just get out of the way.	prevent
S05	E07	291	why, so you can steal a quart of our pink soap?	criticize
S06	E10	420	because the ducklings were having a tea party	introduce
S06	E01	260	oh, great, more reasons for the wet-lips to yell at me.	taunt
S04	E11	508	what, so they can slap the other cheek?	taunt
S04	E01	211	and for women, it's that i got taken advantage of?	complain
S06	E05	536	our corona tests came back negative.	introduce
S05	E08	502	sorry, i should really get going.	leave
S05	E06	12	you two are gonna be managing	arrange
S05	E14	207	there is still a lot that needs to get done, and it is crunch time.	inform
S06	E07	455	and it's the best thing that's ever happened to me.	flaunt
S04	E14	273	excuse me, folks, can everyone gather up?	inform
S05	E08	525	jonah, why are you filming this?	criticize
S05	E06	94	you could eat yourself to death and no one would care.	joke
S05	E14	261	here, take my card. there's a link to the web--	introduce
S05	E02	65	look, i know you like to be everyone's but that's not how i live my life.	oppose
S06	E01	438	this man is harassing me	criticize
S04	E14	440	blaine is sexy, but he is not a good manager.	criticize
S05	E13	369	well, i am gonna show her just how many items	inform
S04	E16	366	also, what's with the weirdly intimate stares?	complain
S05	E14	446	damn it, dina. you had one job.	complain
S04	E04	168	hey man, why did you have to point out this stupid halloween song?	complain
S04	E04	333	my jewish bird joke is so good	flaunt
S04	E12	337	game of thrones  season one	introduce
S05	E21	305	how about everybody's got roller skates	advise
S06	E04	568	it's gonna be all about the moon before you know it.	inform
S05	E19	283	i'll get right on it. sorry, boss.	leave
S04	E04	85	i'll reach out to the manufacturer.	inform
S05	E08	7	i am in the middle of something, dummy.	criticize
S05	E14	48	and my liver is on high alert.	inform
S05	E11	120	you just need to go up to her and go	advise
S04	E10	171	but don't let it wear you out.	inform
S05	E15	455	it's unprofessional!	complain
S04	E01	480	all right, guys, well, this is your last chance	inform
S05	E08	520	well, technically, you can suck it!	criticize
S04	E16	52	happy easter.	inform
S05	E16	525	you would know if you didn't make me skip to the end of the story!	criticize
S04	E08	137	okay, here are your lanyards and your room keys.	inform
S06	E04	64	you're taking a trip to bruise town.	arrange
S05	E11	3	zephra is just our new parent company.	inform
S05	E15	74	he's a scam artist.	inform
S05	E12	294	i just hope that you don't go around	advise
S06	E09	354	but you haven't because you're afraid	taunt
S05	E12	128	this is a pyramid scheme.	complain
S05	E12	452	hey, dina, your dad's looking for you.	inform
S06	E08	486	do you want us to give you a trophy?	taunt
S04	E06	460	i am wearing frozen diapers	complain
S04	E03	164	on behalf of store 1217, it is my privilege	flaunt
S05	E08	322	you win it in a raffle or something?	taunt
S04	E03	401	i'm carol, i'm a jealous psycho stalker who can't take	taunt
S05	E20	88	filled up on bread  is gonna go on her gravestone.	joke
S05	E09	273	what i need from the two of you is less of this	taunt
S05	E07	118	that will fit jerry's big ol' melon.	joke
S04	E03	169	yes. it's one of cloud 9's highest honors.	inform
S05	E16	333	we're a little delayed because amy was busy mean-girling me.	criticize
S05	E19	161	sayid doesn't want to work in housewares.	inform
S06	E04	66	dina, you have justine and me at the same register	inform
S04	E09	278	we don't have room for that.	complain
S05	E12	51	it's the way of the world. the rich get richer.	complain
S05	E15	306	the zephra corporate guidelines and look up what it says	advise
S04	E16	389	me amy. me prep for 5k.	joke
S05	E09	235	i don't consent to this conversation.	oppose
S04	E02	187	oh, i don't see how that could possibly be true.	complain
S05	E07	262	it doesn't even matter.	complain
S05	E10	223	or do your customers also prefer cashiers with tendinitis?	taunt
S05	E18	96	the prizes are in the cereal!	inform
S05	E20	283	i left all my felt tips uncapped in the security office,and those are just gonna be drying out like crazy,so i just need to go.	leave
S04	E10	464	all right, everybody, you did it	inform
S04	E13	201	it's called  you can do it.	introduce
S05	E06	406	security office, now!	inform
S04	E16	521	see you at glenn's show.	leave
S04	E07	201	oh, come on. give me some credit.	complain
S05	E08	321	how did you become manager?	taunt
S05	E13	320	sandra, no. you leave it up.	arrange
S05	E10	3	here, to remind you.	inform
S05	E08	250	you need to move on.	advise
S06	E08	236	feels like i'm buying a gremlin.	joke
S06	E08	564	i was giving you amazing advice and you mocked me	complain
S06	E10	247	he was gonna blab to the lawyers about our work arrangement.	inform
S04	E01	290	hey, man, this guy shreds ass!	criticize
S05	E16	478	that's just not true.	oppose
S05	E15	268	it's just a friendly call, sandra, not an opportunity.	oppose
S06	E04	528	garrett totally stole my look, and no one is talking about it.	criticize
S05	E20	30	it was just sitting on her shoulder like a parrot--look.	introduce
S05	E14	186	don't forget to sign the guestbook.	inform
S05	E07	476	you don't have to keep pretending to be an employee.	advise
S04	E06	395	well, here's my resume.	inform
S06	E07	324	oh, sorry i'm a little late. where do you want me?	apologise
S06	E10	240	some fun socks!	introduce
S04	E11	206	damn it. i have to make up for lost time.	complain
S04	E02	402	now i'm gonna pass the mic around	inform
S04	E10	225	i'm not gonna let you treat a baby this way.	prevent
S05	E02	372	oh, jerry, no one's gonna notice if you're not there.	taunt
S05	E19	547	this guy's driving away all my business, and you know how?	criticize
S05	E02	40	amy, my baby's future is on the line.	ask_help
S04	E03	232	you are a loud-mouthed, domineering, crazy little--	taunt
S05	E07	488	i am not doing a latin accent to sell some queso.	joke
S06	E08	575	but, uh, hey, at least you're getting yourself back out there	comfort
S05	E07	81	hey, you busy?	ask_help
S06	E04	14	they love money, and they don't care if we die.	complain
S06	E09	250	no, that's my nephew. he's my lock screen.	introduce
S05	E21	348	need some glasses for your ears now too, old man?	taunt
S05	E11	413	i mean, amy and dina run the frickin' store.	complain
S05	E06	116	oh, you've given this foot chopper a lot of thought.	taunt
S05	E12	462	oh, come on. damn it.	complain
S05	E09	518	took some doing, but these are solid.	introduce
S04	E01	319	um, noam, don't cry.	comfort
S05	E06	203	um, could you excuse me for just a minute?	leave
S05	E18	503	while poor, little rosie sits at home with an old schoolmarm.	taunt
S05	E19	460	we were all really out of line.	apologise
S04	E07	427	you're fired.	inform
S04	E12	61	oh, now you just look like a sad clown.	joke
S05	E14	229	okay, the seating cards are placed.	arrange
S04	E12	289	but did any of you listen to me?	complain
S05	E16	501	jonah was the ringleader.	criticize
S06	E09	527	havarti, great cheese on a sandwich	introduce
S05	E17	505	it was cheyenne. she took the care packages.	introduce
S05	E06	14	aww, man, then i won't get to hear jonah lecture us	taunt
S06	E03	33	we need someone to replace me as floor supervisor.	inform
S04	E04	101	you're like one of those monks in tibet.	joke
S04	E16	453	yeah, amy was just the one sitting watching us in the dark without our consent.	criticize
S06	E01	366	anti-looting procedures.	introduce
S06	E06	213	we all wish we could just rip that pain out of your body	comfort
S05	E07	566	that this company was extorting these people	complain
S05	E07	246	jonah, get my back.	ask_help
S04	E01	227	oh, yeah, we do. we all hate you.	criticize
S05	E12	297	what?  no, i meant, like, for the rest of, like, however long this is.	oppose
S05	E18	226	i'm trying to get a tribute band, and i need your opinion.	ask_help
S06	E07	486	what am i gonna tell my parents?	complain
S05	E17	187	don't you dream about someday having what jerry and i have?	flaunt
S05	E09	362	yep, i'm just having eric install some shelves.	arrange
S06	E10	110	you fart face!	criticize
S05	E12	449	let me try this, all right?	ask_help
S06	E07	581	carol, that is so savage.	criticize
S05	E02	145	it's not on the list!	oppose
S05	E14	156	get me a drink!	ask_help
S04	E17	159	we're gonna take a break and clear the floor	inform
S05	E15	527	i'm picking you up at 5:00 a.m. tomorrow	inform
