Dialogue_id	Utterance_id	Text	Label	Start_timestamp	End_timestamp	Source	speakername
0	0	so without further ado, to welcome our newest part-time employee, emma dubanowski.	introduce	00:00:02,035	00:00:09,309	superstore	Glenn
0	4	you don't have any of my photos, because i don't pose for them.	explain	00:00:35,636	00:00:38,305	superstore	Dina
0	7	oh, also, starting today is kelly watson.	inform	00:01:15,776	00:01:19,947	superstore	Glenn
1	1	um, i don't know his name, and an amazing butt?	ask_help	00:01:37,865	00:01:42,903	superstore	Nico
1	4	oh, i just like flirting with him.	explain	00:01:53,814	00:01:55,082	superstore	Nico
1	6	ew. so are you just gonna stand there till he comes out?	confirm	00:02:00,253	00:02:04,758	superstore	Cheyenne
1	7	this whole job is standing places.	introduce	00:02:07,895	00:02:09,963	superstore	Nico
1	8	okay.	agree	00:02:11,131	00:02:12,132	superstore	Cheyenne
3	2	step back, please. can i just put this-step back.	arrange	00:03:42,189	00:03:45,225	superstore	Dina
3	3	i have been experiencing some anxiety recently, and...	complain	00:03:47,995	00:03:52,499	superstore	Dina
5	0	okay. so flip, flip, voilà. got it?	confirm	00:04:51,191	00:04:54,895	superstore	Amy
5	1	relax. it's just dad.	explain	00:04:58,065	00:05:00,333	superstore	superstore person1
5	3	uh, inside joke. you wouldn't get it.	taunt	00:05:07,374	00:05:10,277	superstore	superstore person1
6	1	i thought latinos don't care if their kids like them.	taunt	00:05:55,355	00:05:56,623	superstore	Jonah
6	4	you're an intense mom.	taunt	00:06:15,175	00:06:17,110	superstore	Jonah
6	5	i do not want to be around when emma starts dating.	taunt	00:06:17,144	00:06:19,212	superstore	Jonah
6	6	why would you even mention that?	criticize	00:06:19,246	00:06:21,949	superstore	Amy
7	7	you are going to find someone so great.	comfort	00:06:59,452	00:07:01,955	superstore	Glenn
8	3	hot goss?	confirm	00:07:39,526	00:07:41,094	superstore	superstore person1
8	4	you know what i mean. come on, spill it, girl.	advise	00:07:41,128	00:07:42,562	superstore	Amy
8	6	listen, if you don't feel like doing something, don't waste my time.	warn	00:07:48,235	00:07:50,703	superstore	superstore person2
8	7	excuse me, sir.	criticize	00:07:50,737	00:07:52,339	superstore	Amy
8	9	who even uses floor cleaner anymore?	taunt	00:07:57,144	00:07:59,046	superstore	Amy
8	12	wow.	praise	00:08:06,619	00:08:08,455	superstore	superstore person1
8	14	i can be awesome.	flaunt	00:08:09,622	00:08:12,192	superstore	Amy
10	4	okay, but you didn't break up with me.	emphasize	00:09:27,667	00:09:29,402	superstore	Garrett
10	7	well, there you go, champ.	taunt	00:09:38,911	00:09:40,280	superstore	Dina
10	8	i'm sorry. do you know what a softline is?	ask_help	00:09:46,153	00:09:48,288	superstore	Kelly
10	9	i don't have time for this.	leave	00:09:48,321	00:09:50,723	superstore	Garrett
10	11	do you know what a softline is?	ask_help	00:09:52,459	00:09:54,194	superstore	Kelly
10	12	i don't live here. i'm from tampa.	leave	00:09:54,227	00:09:56,463	superstore	superstore person4
11	4	oh, uh, no, you're not done.	inform	00:10:17,184	00:10:19,852	superstore	Amy
11	6	okay. fine.	agree	00:10:26,359	00:10:28,528	superstore	superstore person1
11	7	how about you and i go get a soda?	invite	00:10:35,902	00:10:38,338	superstore	Amy
12	2	and then she's not doing her homework.	criticize	00:11:10,703	00:11:13,006	superstore	Amy
12	3	and then she's hanging out with the bad kids.	criticize	00:11:13,040	00:11:15,242	superstore	Amy
12	5	oh, no, no, no, no. i was just kidding.	explain	00:11:29,322	00:11:31,058	superstore	Jonah
13	2	oh.   hey, um, you think i could get that badge for the bathroom again?	ask_help	00:11:55,815	00:12:01,688	superstore	superstore person2
14	1	i hadn't eaten anything, and, uh, i got a weird call from my wife.	explain	00:12:33,286	00:12:36,289	superstore	superstore person3
14	2	okay, let me stop you right there.	prevent	00:12:36,323	00:12:37,724	superstore	Amy
14	4	okay.	acknowledge	00:12:45,798	00:12:46,833	superstore	superstore person3
14	7	i'm not gonna shake a little girl.	oppose	00:12:57,410	00:12:59,112	superstore	superstore person3
14	8	no, no, i'm her mom. i'm not gonna report it.	explain	00:12:59,146	00:13:01,581	superstore	Amy
16	1	sure, yeah, yeah, it's a can, we don't really organize things here by shape.	explain	00:13:59,439	00:14:05,178	superstore	Jonah
16	7	you're not my boss.	oppose	00:14:18,258	00:14:19,559	superstore	superstore person1
16	12	not so hot, huh?	criticize	00:14:47,554	00:14:49,356	superstore	Glenn
17	1	can i ask you something?	ask_help	00:15:05,805	00:15:07,774	superstore	superstore person2
19	3	all right. that's enough.	agree	00:17:23,843	00:17:26,713	superstore	Garrett
19	5	dina did not break up with me, and actually, if you want to get real about it, it was my idea.	inform	00:17:30,583	00:17:37,624	superstore	Garrett
19	6	i was trying to be a nice guy.	inform	00:17:37,657	00:17:39,158	superstore	Garrett
19	10	please pretend you didn't hear that.	advise	00:17:54,874	00:17:56,643	superstore	Garrett
20	1	yeah.	agree	00:18:08,688	00:18:10,189	superstore	Amy
20	3	do you think emma's doing okay?	confirm	00:18:24,070	00:18:27,540	superstore	Amy
20	6	sure.	agree	00:18:52,231	00:18:53,566	superstore	Amy
21	0	when he smiles at you, it feels like the sun is coming up.	praise	00:19:21,293	00:19:26,032	superstore	Cheyenne
21	2	well, scott is way cuter than jeff.	praise	00:19:31,270	00:19:32,972	superstore	Cheyenne
22	0	i got carried away, and... it wasn't cool.	apologise	00:20:00,800	00:20:03,302	superstore	Garrett
22	3	are you saying you want to get back together?	confirm	00:20:17,584	00:20:20,620	superstore	Garrett
22	4	i mean, is that crazy?	confirm	00:20:20,653	00:20:24,090	superstore	Dina
22	5	i don't think so. let's do it.	advise	00:20:24,123	00:20:27,560	superstore	Garrett
22	6	okay.	agree	00:20:27,594	00:20:30,129	superstore	Dina
22	7	yeah, this isn't working out. i'm dumping you.	oppose	00:20:30,162	00:20:32,932	superstore	Dina
24	2	yeah.	agree	00:00:18,819	00:00:20,087	superstore	superstore person1
24	5	wh--well, i caught you, so, y-you have to.	explain	00:00:24,558	00:00:28,462	superstore	Jonah
24	7	but th-that's how this works.	emphasize	00:00:29,897	00:00:32,866	superstore	Jonah
24	14	oh. wait!	prevent	00:00:53,186	00:00:54,655	superstore	Jonah
24	15	no, no, no, no! no, he--no.	prevent	00:00:54,688	00:00:55,956	superstore	Jonah
24	17	look who's grounded now.	taunt	00:01:08,135	00:01:10,738	superstore	Dina
24	18	jonah, i just did a  law & order  type zinger.	flaunt	00:01:10,771	00:01:14,107	superstore	Dina
25	0	i saw immediately it was a 487 in progress.	flaunt	00:01:23,717	00:01:26,086	superstore	Dina
25	1	i don't know what he could have done to you beforehand, but it is not your fault if he touched you.	comfort	00:01:39,032	00:01:42,536	superstore	Dina
25	2	okay, okay. nothing happened.	explain	00:01:42,570	00:01:43,837	superstore	Jonah
25	7	he asked you to move out of the way so he could leave with the cash, and you just did it?	confirm	00:01:56,650	00:02:00,888	superstore	Dina
27	2	no, because that would be a different tone.	explain	00:04:45,986	00:04:47,387	superstore	Jonah
27	5	um, it's about this morning's incident.	explain	00:04:57,097	00:04:58,799	superstore	Jeff
28	0	what i'm saying is, don't do what dina did.	inform	00:05:28,862	00:05:32,532	superstore	Jeff
28	1	and while it worked out okay this time, it could have turned into serious injury, or death, or god forbid, a lawsuit.	warn	00:05:39,139	00:05:45,278	superstore	Jeff
