season	episode	clip	text	label	Video_Link	Modality
S05	E11	463	and you're on the phone.	Joke	https://drive.google.com/file/d/1Nr3Mg-CWjFsPV9KyQw4m_aKVWCfLfQ3e/view	Audio+Text
S05	E19	341	hey, tommy, some guy with no pants just joined the protest.	Inform	https://drive.google.com/file/d/1awaDnCm_HDogfvGcER08uJT4ndv8RKUQ/view	Text
S05	E17	555	bye, jonah.	Leave	https://drive.google.com/file/d/1mcJI3Gf9LpsotbA9Ddk8E72m6f6dX3H2/view	Text
S04	E03	387	these customers are so handsome.	Praise	https://drive.google.com/file/d/1MYoUTXTb7Io-T6hhgAYdXxIu_VaycFQe/view	Text
S05	E14	229	okay, the seating cards are placed.	Arrange	https://drive.google.com/file/d/1V9oCYGUCLJKy6drEW_khRZiFopUARBnU/view	Video+Text
S05	E09	246	jonah, your last order took 33 minutes.	Criticize	https://drive.google.com/file/d/1btU4tZFAzpcXPWjx-z1K4-fp4lrIN-0f/view	Audio+Text
S05	E07	333	green beans are now the normal price.	Inform	https://drive.google.com/file/d/1MX3-BLESPHM2cHmOa1Z_LSWKAh8P4Q_o/view	Text
S06	E04	396	this job is hard enough.	Complain	https://drive.google.com/file/d/1p6SvD1fZqUomVwsY1l-M12jKrqP1lxpH/view	Text
S05	E17	444	why don't we just give them some cash?	Advise	https://drive.google.com/file/d/1lew69DVvkRLHhYKKnpXI-BkojGttY-cI/view	Text
S05	E15	370	i gotta hop on another call, but we'll do this again soon.	Leave	https://drive.google.com/file/d/1uXWIQAO3yBRRDJ3gLGfvRZlrvZy7-IN5/view	Text
S05	E13	193	oh, okay. well, um, i have worked here	Introduce	https://drive.google.com/file/d/1l88hga3nxcX95407Xcs114jWqAlqIsZp/view	Video+Text
S06	E08	54	mom, come on.	Prevent	https://drive.google.com/file/d/1mEFdbHZrS0t7aAaUXvn9PCzve0WqKx3Z/view	
S06	E03	606	oh, i'm sorry.	Apologise	https://drive.google.com/file/d/1VleSzRr10vVywvh7mOnSuZ5NotXGLu9W/view	Text
S05	E10	464	it's a great color.	Praise	https://drive.google.com/file/d/1tSftEdXfVY_SJxC_ULM13F996l3ah-cO/view	Text
S04	E04	435	it's a me, a mario!	Introduce	https://drive.google.com/file/d/1_4kkxT1E3O0FEkxKX1ug41ElIPhcO4TA/view	Text
S06	E06	88	flooding in the attic and the basement.	Inform	https://drive.google.com/file/d/1w8dMhU431Mw479c5ux4YIo_fFVIz526C/view	Audio+Text
S04	E10	467	there's a blank spot where you can write in your name.	Inform	https://drive.google.com/file/d/11W_GVhXF-bFIi8_Bn93mXU3oDqppEd8d/view	Text
S04	E16	287	he's been spotted in the vicinity.	Inform	https://drive.google.com/file/d/1MHqZq_CBdx7u1ikZZpK3SGzy-uxBB2vE/view	Text
S04	E13	290	this card has a frog and a bear kissing each other.	Introduce	https://drive.google.com/file/d/14juN4Mkegd52ukNLFolTPDS7GPCLcfjN/view	Text
S05	E11	338	yes! thank you so much.	Thank	https://drive.google.com/file/d/1lsfEaFWwtu12bXdA78pIS45ByeElIs2h/view	Text
S05	E10	48	i even got a plaque that said,  dad's number one sales boy.	Flaunt	https://drive.google.com/file/d/1pbCJs0JUC_uMySGrmc9Dm7goA-XgBMir/view	Text
S04	E06	509	i just want to apologize.	Apologise	https://drive.google.com/file/d/1n-8OxwD8HoUAGY4o_ecwvCukVpNOKnAj/view	Text
S05	E13	199	no, thank you, justine, for answering the question.	Thank	https://drive.google.com/file/d/1Z6imuqxtqfmu-hl0fTssx-nHtNCX_549/view	Text
S05	E07	119	are you sure you're okay?	Care	https://drive.google.com/file/d/1xw9P0k5gNk7ddvwZkQ46G3Lmq5_kLM9p/view	Text
S05	E08	61	this week, enjoy 20% off	Inform	https://drive.google.com/file/d/1o-LHmYsLLS93Yu1rpfLojfcqp-eyZGG_/view	Text
S06	E04	90	i'm gonna turn this place into the most efficient machine	Inform	https://drive.google.com/file/d/1lh6TCpcc-SAzz_an2XkigfvkX16fLRbh/view	Text
S05	E07	556	turt-turt, we're out of here.	Leave	https://drive.google.com/file/d/1dm45S14oW6OLLFetpofd9IrmI4u2chzJ/view	Text
S05	E10	514	you did it.	Praise	https://drive.google.com/file/d/1YnkUre6_8d-QqAZdFH9Kunuv90cbKL8V/view	Text
S06	E02	464	oh, that's really sweet, actually.	Praise	https://drive.google.com/file/d/1qlR9YqSM71aCs3pCD7mvl1ZeIKsaFgmr/view	Text
