Dialogue_id	Utterance_id	Text	Label	Start_timestamp	End_timestamp	Source	speakername	Video_Link	Modality
766	1	it's mostly handing out informational pamphlets, right?	Confirm	00:02:17,238	00:02:20,208	superstore	Jonah	https://drive.google.com/file/d/1yrJKONLd4dmRLxG1PRoooODSCvO8yg-8/view	Text
81	2	oh, wait, hold up. what are we working with here?	Doubt	00:00:11,779	00:00:13,381	superstore	Garrett	https://drive.google.com/file/d/1-TNF_1bWdJlqXThCgP6czA-5JbntpQ0c/view	Text
284	53	well, i'm sorry, i don't know you guys that well.	Apologise	00:16:07,800	00:16:09,101	superstore	superstore person4	https://drive.google.com/file/d/1PlSVD9E3gjrwTnKl8oQeJm6i8rn-qBnt/view	Text
510	1	okay.	Acknowledge	00:11:22,115	00:11:23,083	superstore	Tate	https://drive.google.com/file/d/1cJgBGKpZ2dOGyjELLnqq5FPQ2jNwXfUn/view	Video+Text
1308	86	no, wait, you guys. no, you can't leave.	Prevent	00:13:25,179	00:13:27,931	friends	Ross	https://drive.google.com/file/d/1_W_AM_q81x421gar5lvqb1XZWVjXL7yj/view	Text
1247	3	i'm sorry, there's no record of your reservation in the computer.	Apologise	00:07:50,471	00:07:53,724	friends	friends person1	https://drive.google.com/file/d/1_9HRXsyQ6bxYqvThuFrVnFvBW4B_ILwt/view	Text
338	4	and i'd appreciate that respect if that's what i were doing.	Thank	00:14:08,259	00:14:10,697	superstore	superstore person1	https://drive.google.com/file/d/1YeGNDH3uh9UsIwUri0LFJWi993OaIZ-D/view	Text
1066	0	oh, joey, this ring, i... it's beautiful. i love it.	Praise	00:08:10,281	00:08:14,201	friends	Rachel	https://drive.google.com/file/d/1n3ip-tfHjr7DAoorM_o4oIp3YmBnn5mF/view	Text
1069	7	oh, my god, this is so exciting.	Praise	00:13:20,925	00:13:22,967	friends	friends person1	https://drive.google.com/file/d/1CkfSrZyH6BIk7JN_qQl7Ewx24uU0gEyq/view	Text
847	6	ha! he's a good writer.	Praise	00:03:03,811	00:03:05,145	superstore	Nico	https://drive.google.com/file/d/1dojdCahXPlQZluXTRdmM-cI-yx9iLqQD/view	Text
397	3	right! like on  cnn heroes,  you get a sense of the struggle.	Agree	00:07:43,919	00:07:48,924	superstore	Glenn	https://drive.google.com/file/d/180JW2EOTZalnkfqbNsodi-0VtfYbmFqF/view	Text
826	8	so how did it go with leslie?	Care	00:08:47,276	00:08:49,861	bigbang	Leonard	https://drive.google.com/file/d/1-jJ_CLNEr8LupFWPkPSPCbwmbUWZsxXg/view	Text
239	4	just, um, turn left.	Arrange	00:10:03,803	00:10:06,173	superstore	Amy	https://drive.google.com/file/d/1GuzD6N4jPuaV_Pl0uRmuviO5kOdteBJu/view	Text
823	5	oh, thank you. i've got to talk to that mailman.	Thank	00:02:58,219	00:03:00,762	bigbang	Penny	https://drive.google.com/file/d/12V-ae7TilYzIe1OtP60d69k-FqhEZLrI/view	Text
1308	76	we used to be married.	Inform	00:12:25,536	00:12:26,870	friends	Chandler	https://drive.google.com/file/d/1PuJywz45ZvbptzRdXkKiE4QGqfJmjV4w/view	Text
1144	13	i can't believe you thought i was cheating. you owe me an apology.	Criticize	00:18:09,963	00:18:14,383	friends	Monica	https://drive.google.com/file/d/1S2GwzGQ8a4C63g_1DE1xADoOfsWiUGJs/view	Text
286	5	you've never taken a video game home, played it, repackaged it, and put it back on the shelf?	Doubt	00:19:13,319	00:19:19,025	superstore	Glenn	https://drive.google.com/file/d/1WdkHsSAYdrf3vNrgsfVrLTBfJwWpYyGP/view	Text
820	5	really? you?	Doubt	00:16:45,504	00:16:46,587	bigbang	Leonard	https://drive.google.com/file/d/177Gfv41dbgjzc8eeVKskfeNhHjIpXycE/view	Text
95	7	thanks.	Thank	00:12:28,848	00:12:30,016	superstore	Amy	https://drive.google.com/file/d/1nQQ-_o65dNpq2QQAPk234L00Ai4VTGnt/view	Text
988	1	i'm sorry i yelled at you. it's not your fault.	Apologise	00:08:59,789	00:09:03,375	bigbang	Penny	https://drive.google.com/file/d/1zxyhuPpqi3QUqe191wIud2KcQwFaQ8o0/view	Text
1178	1	listen, can you do me a favor? i'm gonna be out today.	Ask for help	00:09:26,315	00:09:29,276	friends	Ross	https://drive.google.com/file/d/1H6GWn-k4RJ8_X2oFkeEf8_TpuGWBO-pj/view	Text
515	1	this entire place is a dictatorship, and it's being ruled over by emperor amy.	Complain	00:13:59,415	00:14:04,777	superstore	Jonah	https://drive.google.com/file/d/12Vyy4-Dg_i9Rps7mzXVsSGn75j87vj_h/view	Text
981	4	all i need from you is to give me a band-aid.	Ask for help	00:13:55,292	00:13:57,710	bigbang	Howard	https://drive.google.com/file/d/10AOQyC53nPnqKNfNX5HGPih4-tUTj28l/view	Text
786	0	was that jeff?	Confirm	00:04:13,113	00:04:14,982	superstore	Dina	https://drive.google.com/file/d/1aqtcd8PPeV4Yc7t4e7v7Lq7oiWAk05MN/view	Text
1308	85	we've been complaining the longest!	Complain	00:13:22,176	00:13:24,344	friends	Monica	https://drive.google.com/file/d/1-gVsZzxM-hecBjxeIaMcK9ThMhtO0jGb/view	Text
989	4	well, raj can't talk to me unless he's drunk.	Explain	00:11:21,013	00:11:23,515	bigbang	Penny	https://drive.google.com/file/d/1N568ivwO5SiI8lH9g8zp29HDeydJq1k6/view	Text
546	1	i'm gonna get them all adopted.	Plan	00:05:21,271	00:05:22,472	superstore	Nico	https://drive.google.com/file/d/1hBf7X-tFAcgi7RF36E9t2cfum5SpjXcv/view	Text
199	1	and if someone told my daughter not to listen to me, well, then, i would be pretty upset.	Explain	00:15:29,228	00:15:33,966	superstore	Amy	https://drive.google.com/file/d/1w4OMsp7jZAjVHCj9oFC-MuyCbliH_x2b/view	Text
1030	15	sure, sisters. heh, heh.	Agree	00:16:07,007	00:16:09,217	bigbang	Penny	https://drive.google.com/file/d/1sB7vxR_q4Dc2NT1F_QlWZ-dOvA5Jq-1o/view	Text
885	1	i'm gonna go to the men's room.	Leave	00:13:45,452	00:13:47,454	superstore	Jonah	https://drive.google.com/file/d/1ppdfPz2p85NkGyOG_I0l_vzdnTI4dkqo/view	Text
1161	2	hey, why are you all dressed up?	Doubt	00:02:37,448	00:02:38,949	friends	Phoebe	https://drive.google.com/file/d/1IgE5CiLNtzYgc-NpSWCJEoxwn2-tXHP_/view	Text
1075	16	i didn't think i should be here either. but somebody said he'd be over it.	Complain	00:03:43,681	00:03:47,809	friends	Joey	https://drive.google.com/file/d/142ESDfVrBLQa5XH54-_nfneCXKMvALFQ/view	Video+Text
414	7	it's the mindset. anything is justified as long as it saves a dollar.	Explain	00:05:34,285	00:05:38,202	superstore	Jeff	https://drive.google.com/file/d/1uDcd7AsuJjjZ2BR_cC4WCOJ7_RQWOFUU/view	Text
526	0	oh, god.	Complain	00:05:02,953	00:05:04,221	superstore	Glenn	https://drive.google.com/file/d/153_qb4lr6EbIuPKErUMHqX3IXyPKIDXo/view	Video+Text
192	10	why don't we go talk to her together?	Advise	00:08:53,233	00:08:55,602	superstore	Amy	https://drive.google.com/file/d/1E3kQnwokWcdTiIV4MHGE-FPuz2CWTfi3/view	Text
878	6	it's fine, it's fine.	Comfort	00:06:04,324	00:06:06,960	superstore	Glenn	https://drive.google.com/file/d/1245MBJ6xgCGG9_0c5LhsFgYZO9__MU2r/view	Text
