actual_label,predicted_label,true_label_prob,is_correct
14,14,0.3836069,True
12,12,0.60317916,True
4,0,0.115562305,False
13,0,0.06186285,False
10,0,0.033827197,False
1,1,0.39240873,True
17,11,0.054586094,False
11,11,0.18234873,True
0,5,0.033718295,False
0,0,0.24066412,True
12,2,0.15517284,False
10,10,0.16948302,True
3,3,0.2534497,True
3,3,0.7092928,True
15,0,0.036003545,False
2,2,0.75842327,True
6,13,0.09562088,False
0,0,0.27629736,True
11,1,0.10242467,False
17,13,0.028053628,False
14,14,0.21742932,True
2,2,0.1618799,True
0,12,0.13353708,False
13,12,0.019545158,False
3,12,0.0144023355,False
4,12,0.05730239,False
0,9,0.095515266,False
2,12,0.017279312,False
0,0,0.36327934,True
17,18,0.023179978,False
8,12,0.09139371,False
14,0,0.020757023,False
12,12,0.42047495,True
0,12,0.14103638,False
0,0,0.50388324,True
12,1,0.09247941,False
9,17,0.04771961,False
9,0,0.015626656,False
13,0,0.10014971,False
15,0,0.043195758,False
15,12,0.10255896,False
3,3,0.20323156,True
6,9,0.07106256,False
1,1,0.33103484,True
15,12,0.111431584,False
8,0,0.038130872,False
14,0,0.17645213,False
11,18,0.02422241,False
4,4,0.31537914,True
12,0,0.18041831,False
1,12,0.057651844,False
2,0,0.011610845,False
1,0,0.20047173,False
3,0,0.09797909,False
9,9,0.47322032,True
14,12,0.060185768,False
14,0,0.037966426,False
12,0,0.28388205,False
3,12,0.002117589,False
3,3,0.9011652,True
2,2,0.9326385,True
4,12,0.027610596,False
0,0,0.17896491,True
1,1,0.24408424,True
18,16,0.025215406,False
10,0,0.02331333,False
12,0,0.07531027,False
15,12,0.15679587,False
2,2,0.6733094,True
13,0,0.045469496,False
8,0,0.027003748,False
15,1,0.099826075,False
14,12,0.07284711,False
10,16,0.05204546,False
16,0,0.003740348,False
14,12,0.06291072,False
16,16,0.13905503,True
18,0,0.14444779,False
10,16,0.06552616,False
1,1,0.2539047,True
4,4,0.14300327,True
11,1,0.14366364,False
13,0,0.017466292,False
10,0,0.007131372,False
8,12,0.020867275,False
4,0,0.09367912,False
18,0,0.049739417,False
16,0,0.05298406,False
10,0,0.1572361,False
2,0,0.0019491389,False
0,18,0.06948842,False
2,0,0.0022593776,False
0,16,0.16823842,False
0,13,0.047239665,False
18,18,0.49155626,True
5,5,0.28337216,True
3,18,0.03833891,False
5,2,0.08411773,False
12,12,0.39675918,True
0,3,0.11229255,False
11,12,0.009058346,False
0,0,0.6128102,True
11,18,0.01645511,False
2,12,0.024073709,False
0,1,0.13954654,False
9,13,0.04114699,False
0,1,0.09547761,False
14,1,0.07222902,False
12,12,0.51904356,True
1,1,0.46358666,True
12,0,0.18947822,False
9,12,0.04232439,False
4,0,0.05032083,False
12,12,0.46506676,True
17,12,0.01095156,False
0,0,0.28830814,True
13,0,0.07788017,False
17,17,0.18574966,True
3,3,0.79179764,True
19,12,0.014336936,False
15,12,0.03507219,False
16,0,0.3324187,False
12,1,0.11331038,False
1,10,0.058851168,False
12,12,0.5672099,True
13,12,0.042830948,False
8,12,0.01268218,False
3,3,0.5047537,True
12,12,0.3231553,True
1,1,0.34109744,True
2,0,0.086649686,False
16,0,0.015084446,False
1,1,0.39130527,True
7,12,0.01497665,False
12,12,0.22217838,True
12,12,0.49053755,True
10,0,0.040621947,False
12,12,0.22743952,True
13,0,0.038186003,False
0,12,0.29887164,False
3,3,0.356973,True
7,0,0.022218166,False
4,0,0.055065494,False
19,13,0.07742446,False
18,15,0.18860824,False
16,0,0.0073566954,False
14,0,0.08103674,False
2,3,0.112714194,False
3,3,0.3910033,True
12,0,0.096253,False
3,3,0.8651262,True
14,0,0.050071076,False
11,1,0.061512306,False
2,1,0.020656649,False
11,0,0.11181898,False
0,1,0.13309178,False
13,13,0.3186883,True
0,0,0.4511102,True
12,9,0.08157334,False
1,1,0.40185356,True
16,5,0.02150163,False
12,12,0.2953027,True
15,15,0.32290238,True
5,0,0.022962287,False
6,0,0.07774846,False
15,12,0.0825564,False
0,0,0.46291384,True
7,0,0.00822125,False
10,0,0.04103229,False
3,3,0.9284325,True
4,0,0.16933891,False
8,1,0.009501683,False
12,12,0.28350955,True
12,12,0.38485524,True
4,12,0.050981518,False
3,3,0.5512422,True
13,4,0.17018065,False
1,13,0.039526507,False
1,1,0.29141212,True
1,12,0.077194914,False
12,0,0.3002167,False
2,2,0.69943887,True
6,0,0.10837863,False
19,0,0.01833075,False
15,12,0.00424698,False
5,1,0.095072605,False
0,5,0.05336777,False
0,12,0.16783732,False
1,18,0.23204161,False
12,1,0.15234296,False
5,16,0.0528532,False
11,4,0.04500345,False
11,3,0.042327616,False
7,0,0.010715158,False
11,11,0.3003233,True
1,1,0.28468677,True
2,18,0.16748072,False
13,0,0.058441788,False
14,0,0.04343478,False
0,0,0.24096848,True
2,2,0.8718594,True
1,10,0.02725871,False
14,0,0.07486462,False
1,0,0.1967678,False
0,16,0.20561372,False
9,9,0.15398696,True
1,0,0.16457462,False
12,12,0.16497365,True
12,12,0.40333298,True
19,0,0.03446052,False
12,0,0.11102238,False
2,12,0.18891494,False
6,16,0.00091299275,False
0,1,0.14539365,False
12,0,0.01586768,False
1,0,0.14673135,False
12,12,0.38747072,True
13,0,0.20096435,False
15,12,0.052260995,False
9,0,0.014301239,False
4,1,0.049904335,False
18,18,0.4988375,True
12,12,0.6858595,True
4,0,0.060789336,False
14,0,0.03507511,False
1,13,0.19026072,False
15,0,0.1649645,False
12,0,0.16135322,False
1,0,0.28208986,False
15,0,0.09404716,False
10,0,0.01127943,False
12,0,0.29355723,False
14,0,0.06025233,False
0,0,0.3628876,True
10,10,0.23358777,True
16,0,0.07591565,False
10,0,0.04163256,False
3,3,0.6436816,True
1,1,0.28072554,True
14,1,0.025024716,False
15,0,0.055285208,False
0,0,0.294395,True
16,0,0.05128602,False
15,1,0.015618864,False
0,0,0.33701456,True
13,0,0.028314207,False
12,12,0.21195146,True
16,18,0.05823376,False
4,14,0.09354235,False
10,14,0.03076112,False
17,0,0.019094074,False
1,1,0.47664842,True
4,12,0.07696063,False
19,0,0.023038045,False
2,2,0.97570246,True
17,3,0.02991637,False
1,1,0.40373495,True
9,12,0.0072596567,False
4,0,0.028759664,False
18,0,0.09546802,False
8,0,0.006413779,False
11,12,0.06242066,False
16,0,0.06606453,False
15,12,0.18967067,False
0,12,0.13471103,False
15,0,0.011197736,False
2,12,0.09258144,False
3,18,0.072262354,False
7,0,0.03259462,False
5,10,0.02604629,False
0,0,0.39794353,True
12,0,0.14271107,False
1,0,0.18663967,False
16,16,0.37781665,True
5,0,0.021886287,False
8,1,0.0337115,False
12,1,0.19047688,False
1,0,0.023510503,False
12,12,0.54275596,True
3,0,0.17730397,False
12,0,0.18332689,False
3,12,0.00064118986,False
11,16,0.16052061,False
1,9,0.080672696,False
12,12,0.24842563,True
1,0,0.07452268,False
11,6,0.03161463,False
12,0,0.10955564,False
8,1,0.0072223903,False
14,12,0.042497665,False
3,12,0.0053071682,False
5,5,0.23369679,True
7,0,0.031930413,False
18,18,0.24915192,True
13,12,0.09461084,False
13,13,0.3632955,True
0,10,0.04074245,False
14,14,0.16478525,True
0,1,0.13614056,False
3,1,0.08193232,False
4,12,0.041105464,False
0,4,0.028740166,False
17,17,0.29384774,True
12,16,0.07533512,False
1,5,0.16110304,False
12,5,0.023939282,False
0,0,0.30484077,True
10,0,0.17780696,False
4,16,0.027661461,False
5,16,0.08175816,False
14,0,0.028718634,False
1,0,0.015320195,False
10,0,0.070836544,False
1,0,0.29756156,False
9,17,0.10115505,False
17,13,0.04511058,False
11,5,0.011073881,False
12,0,0.060863137,False
18,0,0.0541024,False
13,12,0.060204204,False
1,18,0.11368448,False
15,16,0.024270566,False
13,1,0.011900325,False
19,1,0.0623671,False
17,0,0.1137058,False
19,13,0.021933807,False
13,1,0.07719245,False
1,10,0.05898994,False
0,0,0.24003783,True
0,0,0.33798018,True
19,16,0.06432642,False
5,11,0.050964262,False
16,0,0.05011514,False
0,12,0.29469296,False
12,12,0.33468497,True
14,13,0.039876156,False
18,18,0.2856052,True
13,13,0.23909773,True
0,2,0.05046837,False
12,13,0.1920297,False
2,0,0.040639877,False
4,13,0.130564,False
3,3,0.6218885,True
0,12,0.24457458,False
12,18,0.01229422,False
15,12,0.12409802,False
6,0,0.028541587,False
0,0,0.31672245,True
12,0,0.2335434,False
6,11,0.042884167,False
13,12,0.039565805,False
1,12,0.030835275,False
18,0,0.030395739,False
7,12,0.00814815,False
3,0,0.042540815,False
12,0,0.20702982,False
15,2,0.010098438,False
12,0,0.044623762,False
0,0,0.30008107,True
13,0,0.049729686,False
5,16,0.033611547,False
0,0,0.3278249,True
5,2,0.16846234,False
4,12,0.012766362,False
12,0,0.08106377,False
17,0,0.013468611,False
4,0,0.05528363,False
18,18,0.22042096,True
0,0,0.48027027,True
1,12,0.08540571,False
6,12,0.08030169,False
14,1,0.015759101,False
1,1,0.1925343,True
2,2,0.92565143,True
2,12,0.029892828,False
13,0,0.050373193,False
10,0,0.022988496,False
0,12,0.1747102,False
0,1,0.13962728,False
12,12,0.37088227,True
19,0,0.020617906,False
2,2,0.40305245,True
10,16,0.1477687,False
0,14,0.13057297,False
2,2,0.7283105,True
0,1,0.03983409,False
16,0,0.056685638,False
14,0,0.063639745,False
11,1,0.018902874,False
6,11,0.0051667094,False
7,0,0.044157475,False
0,12,0.17513774,False
4,0,0.17440763,False
2,2,0.22737496,True
11,18,0.1201359,False
2,2,0.26339972,True
12,0,0.014667986,False
0,12,0.15345697,False
4,0,0.047351893,False
7,0,0.011053149,False
0,0,0.51776475,True
16,18,0.029314434,False
17,19,0.053799607,False
12,12,0.52246976,True
1,1,0.29678977,True
0,0,0.7550355,True
17,13,0.047272373,False
7,12,0.04813312,False
0,0,0.5210336,True
3,3,0.5127668,True
12,0,0.2828498,False
19,4,0.057756133,False
13,0,0.06791571,False
11,3,0.01997989,False
12,1,0.24871059,False
13,1,0.0055984086,False
11,0,0.019088188,False
1,1,0.6705416,True
0,0,0.54279274,True
6,12,0.035900127,False
16,9,0.147755,False
0,0,0.67903125,True
12,0,0.13215818,False
8,0,0.0323837,False
6,12,0.039419692,False
1,1,0.48319194,True
2,2,0.8285026,True
6,0,0.016850198,False
3,3,0.4357288,True
13,0,0.07669516,False
1,0,0.11901888,False
9,4,0.011792939,False
15,12,0.1112926,False
0,12,0.2573699,False
10,2,0.042671796,False
1,0,0.024629837,False
1,1,0.34461865,True
12,10,0.12195463,False
0,0,0.53274316,True
17,12,0.031843387,False
16,13,0.021757355,False
17,17,0.33317915,True
12,17,0.036990047,False
2,2,0.7908561,True
4,1,0.018629251,False
