actual_label,predicted_label,true_label_prob,is_correct
14,14,0.23943514,True
12,12,0.85464644,True
4,4,0.1127115,True
13,1,0.040584844,False
10,1,0.013749432,False
1,0,0.28281337,False
17,17,0.20358391,True
11,11,0.2708195,True
0,5,0.016371258,False
0,0,0.48729286,True
12,12,0.32292512,True
10,9,0.097109996,False
3,3,0.20166257,True
3,3,0.6427517,True
15,0,0.09883429,False
2,2,0.8793348,True
6,1,0.15865465,False
0,0,0.32054192,True
11,10,0.05810327,False
17,0,0.022954024,False
14,0,0.105775855,False
2,2,0.4273522,True
0,12,0.07240643,False
13,12,0.021625834,False
3,0,0.03892906,False
4,12,0.03641643,False
0,9,0.040241078,False
2,12,0.019663166,False
0,12,0.21238384,False
17,18,0.008193728,False
8,0,0.06962178,False
14,3,0.0077539226,False
12,12,0.7985523,True
0,12,0.07301802,False
0,0,0.3545788,True
12,0,0.17282832,False
9,16,0.01643906,False
9,13,0.038184028,False
13,0,0.009589558,False
15,2,0.16877432,False
15,1,0.13715537,False
3,3,0.19118626,True
6,12,0.053959634,False
1,1,0.57608014,True
15,12,0.08301675,False
8,0,0.011388418,False
14,13,0.17886664,False
11,3,0.042324398,False
4,6,0.0794606,False
12,15,0.12516327,False
1,12,0.009199651,False
2,0,0.012880533,False
1,1,0.26892558,True
3,0,0.115322016,False
9,12,0.19486357,False
14,12,0.03430185,False
14,12,0.173362,False
12,0,0.09509936,False
3,12,0.001160184,False
3,3,0.82387686,True
2,2,0.9386817,True
4,12,0.009179181,False
0,0,0.53804046,True
1,1,0.40397552,True
18,17,0.06738582,False
10,0,0.023985792,False
12,0,0.05239703,False
15,12,0.047898315,False
2,2,0.9312353,True
13,0,0.013828961,False
8,12,0.04709325,False
15,1,0.05293891,False
14,2,0.028896784,False
10,16,0.16234875,False
16,0,0.0023957072,False
14,0,0.042335924,False
16,16,0.25797057,True
18,4,0.24466075,False
10,17,0.019579463,False
1,1,0.24277538,True
4,14,0.03570824,False
11,1,0.10484901,False
13,0,0.0067105475,False
10,15,0.012462568,False
8,12,0.06568901,False
4,0,0.06670552,False
18,12,0.009979003,False
16,0,0.043739285,False
10,0,0.09137799,False
2,12,0.0027248177,False
0,18,0.027805362,False
2,0,0.007123484,False
0,14,0.026763413,False
0,13,0.047173254,False
18,18,0.6780065,True
5,1,0.20240937,False
3,18,0.037573136,False
5,2,0.054387085,False
12,14,0.28913978,False
0,3,0.043500345,False
11,12,0.052297875,False
0,12,0.26804912,False
11,18,0.014870197,False
2,12,0.06379599,False
0,1,0.18976846,False
9,3,0.014143693,False
0,4,0.14325501,False
14,2,0.026748817,False
12,12,0.32054606,True
1,1,0.62808245,True
12,12,0.4015728,True
9,0,0.06499184,False
4,18,0.14491247,False
12,12,0.5442529,True
17,14,0.0045704152,False
0,0,0.26713002,True
13,0,0.035559632,False
17,0,0.29435396,False
3,3,0.5115417,True
19,12,0.00855759,False
15,12,0.03305383,False
16,16,0.45013598,True
12,17,0.13103463,False
1,10,0.03911363,False
12,12,0.5286792,True
13,0,0.044069864,False
8,12,0.010062396,False
3,3,0.41018015,True
12,14,0.25915164,False
1,1,0.54706,True
2,12,0.17727867,False
16,0,0.008838912,False
1,1,0.44746855,True
7,4,0.060647074,False
12,8,0.17239028,False
12,12,0.29142082,True
10,2,0.026280731,False
12,0,0.05273143,False
13,12,0.073178425,False
0,0,0.44003162,True
3,3,0.33236462,True
7,12,0.017342912,False
4,12,0.061320674,False
19,13,0.060428414,False
18,18,0.5236981,True
16,0,0.02297028,False
14,0,0.13970871,False
2,3,0.2706244,False
3,3,0.30423665,True
12,0,0.14216033,False
3,3,0.9436777,True
14,0,0.07229516,False
11,2,0.06277158,False
2,1,0.038322642,False
11,12,0.087630056,False
0,1,0.037405133,False
13,13,0.29794082,True
0,0,0.27345705,True
12,11,0.064131655,False
1,1,0.3674089,True
16,3,0.015290824,False
12,12,0.4963645,True
15,15,0.19482861,True
5,0,0.04942275,False
6,4,0.095118046,False
15,12,0.056665275,False
0,0,0.41922474,True
7,0,0.011552423,False
10,1,0.06446355,False
3,3,0.7800455,True
4,13,0.22917353,False
8,0,0.0036462345,False
12,12,0.7106771,True
12,12,0.70260096,True
4,12,0.03338918,False
3,3,0.40650067,True
13,4,0.13056763,False
