actual_label,predicted_label,true_label_prob,is_correct
14,14,0.99360025,True
12,12,0.99724424,True
4,0,0.0051663592,False
13,10,0.0008864148,False
10,10,0.9946181,True
1,1,0.99279904,True
17,17,0.9837008,True
11,11,0.99283665,True
0,0,0.5751834,True
0,0,0.9965803,True
12,12,0.9965719,True
10,10,0.99505556,True
3,3,0.9966624,True
3,3,0.99654937,True
15,12,0.03494992,False
2,2,0.99641174,True
6,16,0.0007277395,False
0,4,0.0015363289,False
11,11,0.94554687,True
17,17,0.56101894,True
14,16,0.0033985102,False
2,2,0.9955894,True
0,6,0.11068885,False
13,13,0.9889209,True
3,3,0.99646723,True
4,6,0.16394302,False
0,0,0.81894976,True
2,2,0.9964042,True
0,13,0.00019915213,False
17,17,0.9925619,True
8,7,0.031430215,False
14,14,0.99026185,True
12,12,0.99785906,True
0,12,2.2342969e-05,False
0,0,0.5510331,True
12,12,0.9824274,True
9,10,0.016035132,False
9,0,0.005025888,False
13,13,0.98788285,True
15,15,0.9885146,True
15,15,0.83540684,True
3,3,0.99656904,True
6,4,0.0044090305,False
1,1,0.9973489,True
15,15,0.97144544,True
8,13,0.05207422,False
14,13,0.002753875,False
11,11,0.9846069,True
4,4,0.9508998,True
12,12,0.99073714,True
1,0,0.00042161782,False
2,2,0.9942285,True
1,12,3.6969737e-05,False
3,3,0.9964095,True
9,9,0.98535156,True
14,14,0.99457765,True
14,14,0.9909883,True
12,12,0.99224347,True
3,1,0.09335785,False
3,3,0.99667645,True
2,2,0.9964128,True
4,4,0.8896322,True
0,6,0.0024359925,False
1,1,0.9969612,True
18,18,0.98535776,True
10,10,0.987375,True
12,16,0.083141044,False
15,15,0.9653637,True
2,2,0.9959221,True
13,13,0.94328195,True
8,8,0.42703268,True
15,15,0.97143966,True
14,13,0.0083158435,False
10,10,0.9927256,True
16,12,0.0014503819,False
14,14,0.6139624,True
16,16,0.9934063,True
18,18,0.97939086,True
10,10,0.97596496,True
1,1,0.997174,True
4,12,0.10263051,False
11,11,0.99359596,True
13,13,0.9949356,True
10,9,0.0031837625,False
8,12,0.26126134,False
