actual_label,predicted_label,true_label_prob,is_correct
14,14,0.9843962,True
12,12,0.99922216,True
4,9,0.0009980664,False
13,10,0.0028393297,False
10,10,0.99478203,True
1,1,0.99809104,True
17,17,0.98881346,True
11,11,0.9956728,True
0,1,6.438106e-05,False
0,0,0.9991636,True
12,12,0.98406017,True
10,10,0.9978003,True
3,3,0.9984779,True
3,3,0.9982906,True
15,15,0.961177,True
2,2,0.9985812,True
6,16,2.8956018e-05,False
0,0,0.5606258,True
11,19,0.31985638,False
17,10,0.11197846,False
14,16,0.0007538854,False
2,2,0.997969,True
0,0,0.9989969,True
13,14,0.19477428,False
3,3,0.998492,True
4,4,0.54585356,True
0,0,0.9950546,True
2,2,0.99860543,True
0,13,0.0003032345,False
17,17,0.99497026,True
8,6,0.0036714647,False
14,14,0.99274206,True
12,12,0.9991967,True
0,12,0.00013694812,False
0,0,0.6736553,True
12,12,0.5935815,True
9,10,0.0056074546,False
9,0,0.0035625577,False
13,13,0.995112,True
15,15,0.9959038,True
15,15,0.9833304,True
3,3,0.9985207,True
6,4,0.10180615,False
1,1,0.99904436,True
15,15,0.8618509,True
8,6,0.11289341,False
14,13,0.00096043467,False
11,11,0.99208003,True
4,0,0.12291522,False
12,12,0.9982278,True
1,12,0.002160323,False
2,2,0.9941948,True
1,12,0.0003198044,False
3,3,0.99805593,True
9,9,0.98950267,True
14,14,0.9949575,True
14,14,0.9895761,True
12,12,0.9348806,True
3,1,0.21433215,False
3,3,0.99850935,True
2,2,0.9979836,True
4,0,0.040376533,False
0,6,0.0017061788,False
1,1,0.99802834,True
18,18,0.99597013,True
10,10,0.98977894,True
12,0,0.05390186,False
15,15,0.9764143,True
2,2,0.9983985,True
13,13,0.8099037,True
8,13,0.041301273,False
15,15,0.997598,True
14,13,0.06359696,False
10,10,0.9973821,True
16,12,0.00078985764,False
14,13,0.1253556,False
16,16,0.99679,True
18,18,0.9943217,True
10,9,0.061626773,False
1,1,0.99906856,True
4,8,0.069494754,False
11,11,0.9963967,True
13,13,0.997776,True
10,9,0.0015068364,False
8,8,0.7563775,True
4,6,0.2513423,False
18,19,0.1907358,False
16,16,0.9809296,True
10,10,0.98642933,True
2,0,0.017750489,False
0,0,0.9988059,True
2,2,0.9982527,True
0,6,9.241708e-05,False
0,0,0.99133295,True
18,18,0.99646217,True
5,5,0.99673355,True
3,3,0.9981602,True
5,5,0.9705362,True
12,14,0.0015161785,False
0,0,0.9992055,True
11,11,0.994206,True
0,0,0.9989197,True
11,11,0.99535143,True
2,2,0.99834,True
0,0,0.99901474,True
9,12,0.00070946495,False
0,4,0.024606558,False
14,14,0.99382013,True
12,12,0.9993186,True
1,1,0.99788696,True
12,12,0.999476,True
9,15,0.0002673455,False
4,4,0.47662622,True
12,12,0.49739975,True
17,9,0.00034856115,False
0,0,0.50745595,True
13,13,0.9975591,True
17,17,0.9955498,True
3,3,0.9985329,True
19,19,0.9745247,True
15,12,0.4057518,False
16,16,0.99752027,True
12,12,0.9948797,True
1,1,0.9990544,True
12,15,0.015101283,False
13,6,0.0009348959,False
8,15,0.02969914,False
3,3,0.9894657,True
12,12,0.9990688,True
1,1,0.9940952,True
2,2,0.9971625,True
16,12,0.0021497712,False
1,1,0.99839956,True
7,8,0.03932882,False
12,12,0.52867436,True
12,12,0.7312959,True
10,16,0.15095176,False
12,1,0.00018859681,False
13,13,0.9981889,True
0,0,0.9982963,True
3,3,0.99738044,True
7,7,0.778008,True
4,12,0.0015241072,False
19,19,0.9940612,True
18,12,0.0003116282,False
16,16,0.9980958,True
14,14,0.99659497,True
2,2,0.9985678,True
3,3,0.9976555,True
12,8,0.017901268,False
3,3,0.9977964,True
14,12,0.09179468,False
11,11,0.7487208,True
2,2,0.9967193,True
11,11,0.99559623,True
0,0,0.73096436,True
13,13,0.99450547,True
0,4,0.16942173,False
12,0,0.030318601,False
1,1,0.99888736,True
16,16,0.9981129,True
12,12,0.9989912,True
15,15,0.9973699,True
5,5,0.9931377,True
6,12,0.0006852675,False
15,15,0.961984,True
0,9,0.33432665,False
7,7,0.94185257,True
10,10,0.9945298,True
3,3,0.99865,True
4,0,0.00089956087,False
8,7,0.025072446,False
12,15,0.07021169,False
12,12,0.99928075,True
4,4,0.99835205,True
3,3,0.99811435,True
13,13,0.99840987,True
1,1,0.98398674,True
1,1,0.9971902,True
1,1,0.5766249,True
12,16,0.10414511,False
2,2,0.99871135,True
6,0,0.00010291213,False
19,14,0.09239956,False
15,12,0.0051387236,False
5,5,0.9905922,True
0,0,0.99899536,True
0,0,0.9957979,True
1,1,0.99846184,True
12,12,0.9984458,True
5,5,0.99664766,True
11,11,0.99662685,True
11,11,0.99691004,True
7,9,0.17659196,False
11,11,0.9966097,True
1,1,0.99916756,True
2,2,0.99846625,True
13,13,0.99568754,True
14,8,0.00044110202,False
0,0,0.6602965,True
2,2,0.9985476,True
1,1,0.72932255,True
14,14,0.8578802,True
1,1,0.9990055,True
0,0,0.9992169,True
9,17,0.029524917,False
1,1,0.99800116,True
12,12,0.9992681,True
12,12,0.99763525,True
19,19,0.8052081,True
12,12,0.91876566,True
2,2,0.99819154,True
6,6,0.30094746,True
0,0,0.9980831,True
12,1,0.00028150252,False
1,1,0.99793965,True
12,12,0.71484613,True
13,14,0.051007256,False
15,15,0.9953082,True
9,9,0.95944107,True
4,0,0.0051110242,False
18,18,0.99663013,True
12,12,0.743498,True
4,0,0.01287848,False
14,12,0.022415841,False
1,1,0.8890366,True
15,12,0.33211574,False
12,12,0.99853003,True
1,1,0.9991462,True
15,12,0.050071213,False
10,6,0.0038723638,False
12,12,0.99834144,True
14,13,0.025656942,False
0,0,0.9989993,True
10,9,0.024736378,False
16,16,0.9967361,True
10,10,0.9839425,True
3,3,0.9986671,True
1,1,0.99829656,True
14,14,0.9467732,True
15,15,0.88891876,True
0,4,0.015017474,False
16,16,0.90184975,True
15,15,0.96430135,True
0,0,0.9992505,True
13,13,0.997767,True
12,12,0.9840418,True
16,16,0.9980768,True
4,13,0.0021333606,False
10,14,0.1343693,False
17,17,0.99090576,True
1,1,0.9987791,True
