actual_label,predicted_label,true_label_prob,is_correct
14,14,0.9818196,True
12,12,0.99884355,True
4,9,0.010432403,False
13,10,0.005534352,False
10,10,0.9933962,True
1,1,0.99532497,True
17,17,0.77180576,True
11,11,0.9920415,True
0,1,0.046361614,False
0,0,0.9981047,True
12,12,0.92903376,True
10,10,0.99449193,True
3,3,0.9959986,True
3,3,0.99350005,True
15,15,0.8936837,True
2,2,0.99602085,True
6,19,0.00039065414,False
0,4,0.0020672574,False
11,11,0.9707662,True
17,17,0.7735873,True
14,16,0.0037567508,False
2,2,0.99502915,True
0,0,0.7582138,True
13,12,0.3133834,False
3,3,0.99647635,True
4,6,0.23081134,False
0,0,0.9778856,True
2,2,0.9950399,True
0,13,0.0006167222,False
17,17,0.98954403,True
8,6,0.0056165825,False
14,14,0.99119824,True
12,12,0.9983524,True
0,12,8.167746e-05,False
0,0,0.8583251,True
12,12,0.99217355,True
9,10,0.24631523,False
9,0,0.0014360298,False
13,13,0.969342,True
15,15,0.9928398,True
15,8,0.33481893,False
3,3,0.9955843,True
6,4,0.27257073,False
1,1,0.9972429,True
15,15,0.95161843,True
8,6,0.016585326,False
14,13,0.010197478,False
11,11,0.9842694,True
4,4,0.85185105,True
12,12,0.97098327,True
1,12,0.0009952954,False
2,2,0.9927859,True
1,12,6.630894e-05,False
3,3,0.9923908,True
9,9,0.9882167,True
14,14,0.99160063,True
14,14,0.9945155,True
12,12,0.8473475,True
3,1,0.080912784,False
3,3,0.9965863,True
2,2,0.9971891,True
4,0,0.3546211,False
0,8,0.00079831766,False
1,1,0.9978218,True
18,18,0.97882164,True
10,10,0.98650265,True
12,0,0.011902754,False
15,15,0.78839946,True
2,2,0.9962717,True
13,13,0.9840237,True
8,13,0.004925068,False
15,15,0.9888777,True
14,19,0.007521293,False
10,10,0.9943568,True
16,0,0.00067708653,False
14,13,0.47201324,False
16,16,0.993835,True
18,18,0.9868758,True
10,10,0.7773288,True
1,1,0.9964342,True
4,8,0.3364958,False
11,11,0.9904283,True
13,13,0.997336,True
10,9,0.04312916,False
8,8,0.9338123,True
4,6,0.24386743,False
18,11,0.026485972,False
16,14,0.2799183,False
10,10,0.956927,True
2,0,0.018983336,False
0,0,0.984486,True
2,2,0.9946002,True
0,6,0.00019742818,False
0,0,0.70604914,True
18,18,0.9898497,True
5,5,0.9925621,True
3,3,0.9950387,True
5,5,0.9808168,True
12,13,0.0015184819,False
0,0,0.99814713,True
11,11,0.99342114,True
0,0,0.9981462,True
11,11,0.9947331,True
2,2,0.9967674,True
0,0,0.9980835,True
9,12,0.0006774152,False
0,4,0.00038762827,False
14,14,0.98918706,True
12,12,0.99456364,True
1,1,0.97394425,True
12,12,0.9971603,True
9,15,0.00029933112,False
4,12,0.4346337,False
12,12,0.96501654,True
17,9,0.07388228,False
0,0,0.6179238,True
13,13,0.9957942,True
17,17,0.9924644,True
3,3,0.9959632,True
19,14,0.4682856,False
15,15,0.6081991,True
16,16,0.99285054,True
12,12,0.66989166,True
1,1,0.9982753,True
12,12,0.8664132,True
13,0,0.008128832,False
8,15,0.11713261,False
3,3,0.6179063,True
12,12,0.99522686,True
1,1,0.9928074,True
2,2,0.99663985,True
16,12,0.003157302,False
1,1,0.99656916,True
7,8,0.017491188,False
12,4,0.00788291,False
12,12,0.8960483,True
10,16,0.012218891,False
12,6,0.0016456894,False
13,13,0.9964741,True
0,4,0.17400998,False
3,3,0.99597114,True
7,7,0.74410224,True
4,12,0.0040138,False
19,19,0.98235875,True
18,12,0.0003233148,False
16,16,0.9961448,True
14,14,0.99550784,True
2,2,0.99550325,True
3,3,0.9962179,True
12,11,0.008802742,False
3,3,0.9966106,True
14,12,0.3117699,False
11,11,0.8886871,True
2,2,0.9954521,True
11,11,0.9931539,True
0,4,0.017481012,False
13,13,0.9645456,True
0,8,0.0033823468,False
12,0,0.021269256,False
1,1,0.9972257,True
16,16,0.9950413,True
12,12,0.99750525,True
15,15,0.9968659,True
5,5,0.9887298,True
6,12,0.0016346235,False
15,15,0.46843666,True
0,9,0.4348833,False
7,7,0.78684396,True
10,10,0.99426454,True
3,3,0.99631184,True
4,0,0.18241718,False
8,7,0.101929046,False
12,12,0.7080095,True
12,12,0.99883825,True
4,4,0.9971354,True
3,3,0.9956727,True
13,13,0.99712,True
1,1,0.9166612,True
1,1,0.9970884,True
1,1,0.8288665,True
12,16,0.011018842,False
2,2,0.9973592,True
6,0,0.0025065215,False
19,14,0.0028639154,False
15,12,0.059176642,False
5,5,0.98426247,True
0,0,0.99813604,True
0,12,0.48422366,False
1,1,0.9978338,True
12,12,0.9961671,True
5,5,0.99093306,True
11,11,0.99278015,True
11,11,0.9933351,True
7,0,0.020576118,False
11,11,0.9937052,True
1,1,0.9985757,True
2,2,0.99560946,True
13,13,0.9948427,True
14,8,0.0010591567,False
0,13,0.025402544,False
2,2,0.99668,True
1,1,0.51305234,True
14,14,0.954352,True
1,1,0.9982998,True
0,0,0.99334455,True
9,17,0.08739343,False
1,1,0.99668723,True
12,12,0.9961945,True
12,12,0.63658965,True
19,19,0.64020276,True
12,14,0.17828049,False
2,2,0.9965977,True
6,6,0.33899045,True
0,0,0.9905103,True
12,1,0.0009298048,False
1,1,0.9968388,True
12,12,0.748085,True
13,13,0.50381166,True
15,15,0.9819057,True
9,9,0.87423736,True
4,6,0.0606398,False
18,18,0.9921705,True
12,12,0.6545078,True
4,4,0.52463937,True
14,12,0.0064262734,False
1,1,0.676537,True
15,12,0.2314953,False
12,12,0.9910246,True
1,1,0.9983298,True
15,12,0.016291447,False
10,6,0.002020546,False
12,12,0.99657106,True
14,14,0.8284031,True
0,0,0.99648535,True
10,9,0.34558883,False
16,16,0.9943901,True
10,10,0.9197998,True
3,3,0.99589586,True
1,1,0.99637765,True
14,14,0.93438524,True
15,15,0.59107363,True
0,4,0.00021618133,False
16,16,0.608416,True
15,15,0.5143766,True
0,0,0.99852705,True
13,13,0.99653876,True
12,14,0.3737845,False
16,16,0.99494076,True
4,13,0.00016451442,False
10,14,0.3176271,False
17,17,0.96883684,True
1,1,0.9979748,True
4,4,0.83521086,True
19,13,0.0007295839,False
2,2,0.9975586,True
17,12,0.00012976576,False
1,1,0.99810636,True
9,4,0.011920488,False
4,0,0.10646725,False
18,15,0.010568749,False
8,0,0.0056426465,False
11,17,0.015999036,False
16,16,0.99622285,True
15,15,0.98926604,True
0,4,0.012411466,False
15,15,0.9870632,True
2,2,0.99547464,True
3,3,0.9973218,True
7,0,0.048187815,False
5,5,0.69994575,True
0,0,0.98523116,True
12,14,0.018397883,False
1,5,0.23075056,False
16,16,0.9952524,True
5,5,0.9813261,True
8,7,0.07611626,False
12,14,0.06361903,False
1,7,0.020252524,False
12,12,0.99766123,True
3,3,0.9970137,True
12,12,0.86688083,True
3,3,0.8937795,True
11,11,0.9919416,True
1,1,0.9917129,True
12,12,0.99041766,True
1,1,0.98774904,True
11,8,0.11319967,False
12,12,0.98746943,True
8,7,0.02504586,False
14,14,0.966926,True
3,3,0.9958941,True
5,5,0.98794824,True
7,9,0.016812062,False
18,18,0.99161595,True
13,6,0.0007581467,False
13,13,0.57723457,True
0,9,0.0012586032,False
14,19,0.026770981,False
0,0,0.9985025,True
3,3,0.9941797,True
4,0,0.0012798902,False
0,0,0.79391104,True
17,17,0.98543686,True
12,12,0.8068244,True
1,1,0.9982053,True
12,15,0.3630104,False
0,9,0.21157184,False
10,10,0.99321544,True
4,4,0.90655226,True
5,5,0.81272197,True
14,14,0.8843005,True
1,1,0.993004,True
10,10,0.96955127,True
1,1,0.75067294,True
9,9,0.80180585,True
