actual_label,predicted_label,true_label_prob,is_correct
15,22,2.1844917e-05,False
17,17,0.99912363,True
10,10,0.99892753,True
14,14,0.9990132,True
2,2,0.8692571,True
2,2,0.9977209,True
28,28,0.99984634,True
24,24,0.99987376,True
15,9,1.0662237e-05,False
0,0,0.9640982,True
14,14,0.9999517,True
22,14,0.17102961,False
3,3,0.9997223,True
28,28,0.999778,True
24,12,1.9812613e-05,False
10,21,0.031818498,False
2,2,0.8932537,True
3,3,0.99980277,True
18,18,0.9995578,True
11,18,2.7537137e-05,False
10,10,0.73044664,True
0,2,0.0008250178,False
1,1,0.97503453,True
17,17,0.992155,True
3,3,0.99974257,True
1,4,0.12558983,False
13,2,0.0139710065,False
9,8,1.4949358e-05,False
21,25,0.0013218813,False
25,26,0.023924634,False
24,17,0.0010035959,False
14,14,0.9999354,True
24,24,0.99987745,True
17,17,0.6958393,True
9,17,0.30293918,False
9,9,0.99981123,True
17,14,0.011615006,False
17,17,0.9988593,True
1,14,3.1485856e-06,False
17,17,0.9412992,True
10,10,0.99972564,True
17,23,0.0646271,False
14,9,0.001165113,False
5,10,0.22859274,False
10,10,0.99930394,True
12,6,0.03248788,False
24,24,0.9998555,True
27,11,0.02029398,False
10,12,0.12882116,False
17,15,0.054469984,False
3,3,0.99988985,True
16,6,0.0026546353,False
6,5,0.028163949,False
12,12,0.9994659,True
15,15,0.9964805,True
14,14,0.99958044,True
9,27,1.5012215e-05,False
14,14,0.99979323,True
9,9,0.60507876,True
19,19,0.99756277,True
28,28,0.9998258,True
19,21,4.370903e-05,False
10,12,0.16016628,False
9,9,0.999146,True
10,19,0.00019772105,False
2,2,0.9970595,True
2,0,0.07964172,False
10,27,4.717013e-05,False
18,16,0.0004315735,False
10,10,0.99933714,True
17,9,7.1273986e-05,False
17,17,0.99983764,True
10,7,0.097672634,False
17,17,0.96129423,True
17,14,0.27657464,False
12,7,0.0473679,False
12,12,0.89918286,True
14,14,0.9999559,True
27,8,3.2326345e-05,False
12,12,0.9991204,True
27,22,1.1526188e-06,False
17,17,0.99886024,True
22,17,0.0028216443,False
7,6,0.0009996478,False
22,22,0.99979335,True
2,2,0.96520555,True
22,22,0.9893756,True
22,14,0.004483648,False
18,1,3.3174634e-05,False
18,4,9.35093e-05,False
16,16,0.99968493,True
27,20,0.0032389837,False
12,10,0.00044284854,False
27,14,0.0011144491,False
9,21,0.2856602,False
5,5,0.99980444,True
2,0,5.7567508e-05,False
21,0,0.0011181566,False
18,9,0.0016219032,False
12,12,0.99973327,True
10,10,0.9998412,True
1,21,2.3962739e-05,False
27,8,3.7454898e-05,False
9,12,0.000171549,False
22,22,0.99942744,True
18,14,0.0005028173,False
20,20,0.9163297,True
5,5,0.9114674,True
1,4,0.000103153594,False
22,22,0.9974567,True
23,23,0.9289288,True
23,1,0.0003957552,False
2,4,0.05170783,False
20,29,0.0023285074,False
16,16,0.994114,True
16,16,0.9996026,True
14,13,0.118449725,False
5,5,0.99936754,True
14,2,0.0018313914,False
14,22,0.06116833,False
28,28,0.99989796,True
12,12,0.6109703,True
28,28,0.99989283,True
28,28,0.9999052,True
6,6,0.9991072,True
24,24,0.99980086,True
24,24,0.99941015,True
2,2,0.9918643,True
24,2,0.0015710444,False
24,24,0.9969753,True
28,28,0.9998467,True
14,18,0.026592249,False
21,21,0.9988115,True
14,14,0.999742,True
14,9,0.055239126,False
8,8,0.99794644,True
2,10,4.0084674e-06,False
14,9,0.07380571,False
28,28,0.99969065,True
28,28,0.9997887,True
24,0,0.00036043723,False
3,3,0.99964917,True
14,14,0.9954673,True
2,2,0.9972504,True
10,12,0.0039313934,False
22,26,0.031778764,False
18,9,0.18466984,False
22,22,0.9998485,True
24,27,0.24599606,False
22,22,0.9998672,True
4,21,0.00020127925,False
27,27,0.99899024,True
27,25,0.0034667668,False
9,9,0.9994363,True
9,9,0.9934681,True
2,2,0.72213835,True
14,17,0.25492346,False
5,14,0.00022068985,False
2,2,0.54879767,True
2,2,0.9975267,True
17,13,0.02758863,False
8,8,0.999841,True
21,21,0.49597612,True
25,29,0.0018679461,False
10,10,0.9979613,True
14,14,0.9998479,True
18,18,0.99960977,True
24,24,0.9992704,True
11,9,0.0072644395,False
22,25,6.521998e-05,False
17,14,0.00020295224,False
3,14,0.00037725666,False
28,28,0.999895,True
17,23,0.008452469,False
13,20,2.6194879e-05,False
14,14,0.98936987,True
14,14,0.99993956,True
10,6,0.05469467,False
14,14,0.8915043,True
1,27,0.09779874,False
10,12,0.0072248797,False
8,8,0.99348044,True
8,14,0.00066529267,False
28,28,0.99990773,True
23,23,0.99822325,True
9,14,9.241193e-05,False
9,17,0.09251365,False
22,22,0.9996972,True
17,17,0.9088061,True
24,24,0.96334004,True
19,19,0.9970413,True
28,28,0.99989796,True
9,2,5.1037273e-06,False
24,17,3.482255e-05,False
25,25,0.86520654,True
23,9,0.002012447,False
23,9,0.0017715544,False
24,10,0.0024534415,False
3,3,0.9997489,True
17,10,1.2950139e-06,False
7,10,0.00029116034,False
2,27,0.004032041,False
9,9,0.9933745,True
27,12,1.944802e-05,False
27,27,0.81517917,True
1,1,0.99915063,True
22,22,0.60885334,True
14,9,0.2631109,False
14,14,0.9176596,True
14,14,0.9966222,True
9,9,0.9998217,True
2,2,0.99697673,True
21,21,0.99865216,True
7,7,0.99608094,True
7,16,0.06721001,False
24,24,0.9984831,True
12,12,0.9995403,True
14,14,0.9854166,True
22,22,0.9086676,True
7,7,0.9963147,True
20,27,0.018918617,False
1,1,0.999589,True
9,12,3.546051e-05,False
9,13,0.0027056779,False
13,14,2.2563836e-05,False
17,17,0.9950001,True
2,2,0.9985158,True
4,1,0.002380861,False
17,27,0.00022990438,False
17,17,0.9997607,True
17,17,0.90202636,True
9,9,0.6915492,True
16,16,0.99985266,True
7,16,0.1551551,False
28,28,0.9998592,True
5,17,0.33288857,False
10,10,0.9995778,True
3,3,0.9957216,True
17,16,0.00038527595,False
27,29,0.0036525785,False
27,24,0.037625875,False
28,28,0.9995727,True
17,17,0.8589721,True
17,9,0.00035223263,False
13,9,0.008695345,False
17,17,0.9999654,True
17,17,0.81071025,True
