actual_label,predicted_label,true_label_prob,is_correct
15,22,0.004270164,False
17,17,0.9940858,True
10,19,0.37219137,False
14,14,0.9987111,True
2,2,0.76269096,True
2,2,0.98076737,True
28,28,0.9958669,True
24,24,0.9983304,True
15,9,0.023724632,False
0,0,0.9585938,True
14,14,0.99895704,True
22,14,0.20005664,False
3,3,0.997869,True
28,28,0.9969919,True
24,10,0.05132395,False
10,19,0.011212763,False
2,2,0.6841501,True
3,3,0.99883074,True
18,18,0.9959228,True
11,9,0.0008835065,False
10,12,0.019844646,False
0,2,0.051161367,False
1,1,0.47943088,True
17,17,0.9573541,True
3,3,0.9969279,True
1,1,0.405146,True
13,2,0.09726954,False
9,24,0.00017176491,False
21,25,0.0022022878,False
25,25,0.80400765,True
24,14,0.00012846624,False
14,14,0.9980268,True
24,24,0.99690586,True
17,4,0.04158125,False
9,9,0.99503565,True
9,9,0.9967225,True
17,14,0.0074317413,False
17,17,0.9194979,True
1,14,0.01023311,False
17,17,0.9130569,True
10,10,0.9977024,True
17,23,0.13326293,False
14,9,0.00679047,False
5,5,0.90528303,True
10,10,0.9967758,True
12,1,0.006421788,False
24,24,0.9981775,True
27,11,0.3401191,False
10,10,0.5316183,True
17,15,0.0349329,False
3,3,0.99859554,True
16,10,0.0003653473,False
6,5,0.15193608,False
12,12,0.9737181,True
15,27,0.23751806,False
14,14,0.9984604,True
9,27,0.0014191017,False
14,14,0.99935776,True
9,14,0.0061770813,False
19,19,0.97660315,True
28,28,0.99714065,True
19,21,0.0072140857,False
10,12,0.14300512,False
9,9,0.99394166,True
10,19,0.0032114314,False
2,2,0.9840225,True
2,0,0.02085073,False
10,12,0.004680529,False
18,16,0.07772656,False
10,10,0.9941619,True
17,9,0.06362193,False
17,17,0.9965036,True
10,7,0.0037819182,False
17,17,0.59553343,True
17,17,0.9538935,True
12,12,0.57088715,True
12,9,0.44195598,False
14,14,0.9993112,True
27,8,0.24616069,False
12,12,0.9833919,True
27,22,2.4023264e-05,False
17,17,0.9807544,True
22,17,0.00025920742,False
7,6,0.064540885,False
22,22,0.9901832,True
2,2,0.2524386,True
22,22,0.77612364,True
22,22,0.5077837,True
18,1,0.0014406187,False
18,4,0.0006189142,False
16,16,0.96746576,True
27,20,0.1903855,False
12,10,0.0069292453,False
27,27,0.576609,True
9,9,0.78288937,True
5,5,0.9847111,True
2,0,0.0038132558,False
21,0,0.00055432756,False
18,25,0.0004981919,False
12,12,0.9948784,True
10,10,0.9942802,True
1,4,0.0005474981,False
27,8,0.0005410341,False
9,12,0.012513848,False
22,22,0.9726902,True
18,14,0.020113448,False
20,14,0.0026354804,False
5,5,0.6864948,True
1,4,0.00026031147,False
22,22,0.9893708,True
23,23,0.35092965,True
23,1,0.11194359,False
2,4,0.002796581,False
20,11,0.00016187622,False
16,16,0.6629107,True
16,16,0.9968381,True
14,14,0.9981008,True
5,5,0.89004457,True
14,2,0.022157187,False
14,22,0.14322583,False
28,28,0.9972307,True
12,12,0.86355287,True
28,28,0.9977139,True
28,28,0.9976433,True
6,6,0.9840847,True
24,24,0.99815065,True
24,24,0.9912742,True
2,2,0.65363723,True
24,27,0.008241421,False
